review,note,niveau,date,platform,niveau_classe,note_ref,review_cleaned,topic,sentiment_textblob,label_textblob,sentiment_vader,label_vader
"Après avoir totalement abandonné le 24 en décembre.J’ai testé le jeu pendant les 10h + d’autres matchs en partage de compte.J’affirme avec certitude que le gameplay est une fumisterie planétaire et qu’on est certains qu’on aura plus de jeux de foot que nous avions jadis à l’époque… Point Positif :- Rush qui est « Rigolo » ( d’où le 1/20 )Point Négatifs ( Tenez vous bien )- Hyper Frustrant manette en main- Bugé dans tout les sens- Système Défensif complètement mort- Tout pour l’Attaque !- Tactique en match beaucoup trop flou- Contre Défavorable à Gogo- Gardien Atroce- FC IQ compliqué à appliquer- Inertie des joueurs horrible- Réactivité des joueurs sous morphine- Menu Rageant et lourd- Carrière remaniée mais trop brouillonne- JEU COPIÉ COLLÉ DE FC 24 EN PIRE.Sans compter que la future grosse maj viendra davantage accentuer tout ça et brûler le jeu vif.Donc ceux qui sont sceptiques, je vous conseille fortement de vous éloigner de tout achat de FC 25 sous peine de vous tirez les cheveux toutes les 30s tentant d’essayer de jouer un temps soit peu au foot.",1,9.0,30/09/24,PS5,Novice,20,après avoir totalement abandonné décembre testé jeu pendant h autres match partage compte affirme certitude gameplay fumisterie planétaire certains plus jeux foot jadis époque point positif rush rigolo où point négatifs tenez bien hyper frustrant manette main bugé tout sen système défensif complètement mort tout attaque tactique match beaucoup trop flou contre défavorable gogo gardien atroce fc iq compliqué appliquer inertie joueurs horrible réactivité joueurs sou morphine menu rageant lourd carrière remaniée trop brouillonne jeu copié collé fc pire sans compter future grosse maj viendra davantage accentuer tout ça brûler jeu vif donc ceux sceptiques conseille fortement éloigner tout achat fc sou peine tirez cheveux toutes tentant essayer jouer temp peu foot,0,-0.2777777777777778,négatif,-0.7579,négatif
"Pire jeu de foot de l'histoire.Et pourtant je pensais qu'on avait atteint un cap en terme de médiocrité avec FC24, mais là c'est trop..Bugs sur bugs, jusqu'au jour du lancement, (aujourd'hui): impossible de rentrer dans le jeu.Gameplay inchangé et toujours autant éclaté.Bref, c'est trop..",0,40.0,27/09/24,PS5,Expert,20,pire jeu foot histoire pourtant pensais atteint cap terme médiocrité fc là trop bug bug jusqu jour lancement aujourd hui impossible rentrer jeu gameplay inchangé toujours autant éclaté bref trop,4,-0.6666666666666666,négatif,0.0,neutre
"on se rapproche de l'exploitation du realisme des temps modernes (Bien) jai relevé qu'il y a des possibilité embelimé le realiste, hors terrain des idées à ajouter",19,1.0,29/09/24,PS5,Novice,20,rapproche exploitation realisme temp modernes bien jai relevé a possibilité embelimé realiste hors terrain idées ajouter,3,0.0,neutre,0.0,neutre
"On est vraiment sur un très bon FC, c'est le meilleur de la série sur la génération ps5 et de loin, le mode simulation est vraiment bon, on sent plus de lourdeur plus d'inertie sur cette opus contrairement aux autres, le gameplay est top, le mode carrière a subi un petit refresh, juste petit hic : les modes en lignes sont moyen sa ressemble pas à de la simu c'est dommage mais en offline c'est un très très bon jeux, les notes sont faussés car beaucoup de personne joue sur fut et en ligne qui pour moi est un autre jeux.",18,3.0,03/10/24,PS5,Novice,20,vraiment très bon fc meilleur série génération p loin mode simulation vraiment bon sent plus lourdeur plus inertie cette opus contrairement autres gameplay top mode carrière a subi petit refresh juste petit hic mode ligne moyen ressemble simu dommage offline très très bon jeux note faussés car beaucoup personne joue ligne autre jeux,4,0.5,positif,0.0772,neutre
"Jeu de football qui ""pue"" le football dans le très bon sens du terme. Des graphismes bluffants sur PS5/XBX, énormement de mode de jeu dont le tout nouveau ""Rush"" dans un petit terrain, à noter que Volta est toujours présent avec le mode 3 VS 3Les animations pendant les matchs sont très vivantes, c'est très très plaisant pour les yeuxLe gameplay pour un joueur non hardcore qui ne passe pas son temps à rager sur FUT est  bon. Bref,  je joue de mon côté la plupart du temps en offline ou avec des potes, et on s'amuse très bien",18,20.0,24/11/24,PS5,Actif,20,jeu football pue football très bon sen terme graphismes bluffants p xbx énormement mode jeu dont tout nouveau rush petit terrain noter volta toujours présent mode v animation pendant match très vivantes très très plaisant yeuxle gameplay joueur non hardcore passe temp rager bon bref joue côté plupart temp offline potes amuse très bien,0,0.0,neutre,0.3757,positif
"À la Vu de tout ces commentaires négatifs sur le titre,je dois tout de même préciser qu'il y a des changements comparé au précédent opus,de bonnes choses,un bon titre,certes on déplore l'absence de l'AC Milan et de l'Inter Milan et toujours pas de sélection Brésilienne, mais pour le passionné de foot que je suis ce jeu est très bon.",17,1.0,29/09/24,PS5,Novice,20,vu tout commentaires négatifs titre doi tout préciser a changements comparé précédent opus bonnes choses bon titre certes déplore absence ac milan inter milan toujours sélection brésilienne passionné foot jeu très bon,1,-0.0125,neutre,-0.25,négatif
très bon jeux les développeurs on mis les championnats féminins et on faire une carrière joueuse et une carrière manager avec une équipe féminine et la cerise sur le gâteau on peut jouer en mode joueur ou joueuse pro avec 4 icônes.,17,1.0,01/10/24,PS5,Novice,20,très bon jeux développeurs mi championnats féminins faire carrière joueuse carrière manager équipe féminine cerise gâteau peut jouer mode joueur joueuse pro icônes,4,0.0,neutre,0.0,neutre
"Cette année, le FC25 a vraiment frappé fort avec une formation dont les joueurs doivent faire preuve d'une bonne maîtrise de leur équipe. Un jeu qui reflète la réalité des connaissances en football : lorsque vous avez une bonne connaissance du foot, vous êtes en mesure de bien jouer à FC25.",17,1.0,10/10/24,PS5,Novice,20,cette année fc a vraiment frappé fort formation dont joueurs doivent faire preuve bonne maîtrise équipe jeu reflète réalité connaissances football lorsque bonne connaissance foot mesure bien jouer fc,0,0.0,neutre,0.0,neutre
"mon dernier Fifa est le 23, le jeu est très bon, le mode carrière a été modifié et amélioré, le mode fut est toujours aussi bien même si il y a très peu d'évolutions, d'ailleurs dommage... le mode rush est un régal !!!",16,8.0,27/09/24,PS5,Novice,20,dernier fifa jeu très bon mode carrière a modifié amélioré mode toujours aussi bien si a très peu évolutions ailleurs dommage mode rush régal,0,0.0,neutre,0.0,neutre
Arrêtez de critiquer sans cesse tous  les jeux ....test drive ....tiebrek....Pour faire un jeu comme Fc 25  vous vous rendez compte  toutes les données statistiques des joueurs qu il faut ainsi que la modélisation le gamepplay.....moi je veux moins de but ...un jeu où les les joueurs respectent les consignes....ça a l air d être plus le cas cette année.....mais ceux mettent 1 /20 ....vous faites quoi comme job....?,15,2.0,27/09/24,PS5,Novice,20,arrêtez critiquer sans cesse tous jeux test drive tiebrek faire jeu comme fc rendez compte toutes données statistiques joueurs faut ainsi modélisation gamepplay veux moins but jeu où joueurs respectent consignes ça a air être plus ca cette année ceux mettent faites quoi comme job,0,0.0,neutre,0.0,neutre
